title,session_area,authors,affiliation,status,rating,avg_rating,openreview_urls,neurips_urls,all_urls,openreview_id,neurips_id,name,norm_title_nj,neurips_abstract,neurips_event_type,neurips_session,neurips_location,neurips_starttime,neurips_endtime,neurips_virtualsite_url,neurips_paper_url,neurips_decision,neurips_poster_position
AIEA Lab (BTF),Workshop,Kargi Chauhan,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129795,https://neurips.cc/virtual/2025/workshop/129795,,129795,AIEA Lab (BTF),aiea lab (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129795,https://neurips.cc/virtual/2025/workshop/129795,,
2nd  Workshop on Multi-modal Foundation Models and Large Language Models  for Life Sciences,Workshop,"Pengtao Xie, James Zou, Le Song, Ruishan Liu, Aidong Zhang, Eran Segal, Wei Wang, Li Zhang",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109536,https://neurips.cc/virtual/2025/workshop/109536,,109536,2nd  Workshop on Multi-modal Foundation Models and Large Language Models  for Life Sciences,2nd workshop on multi-modal foundation models and large language models for life sciences,,Workshop,Workshop,Upper Level Room 31ABC,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109536,https://neurips.cc/virtual/2025/workshop/109536,,
AI4Mat-NeurIPS-2025: NeurIPS 2025 Workshop on AI for Accelerated Materials Design,Workshop,"Santiago Miret, ALEXANDRE DUVAL, Rocío Mercado, Emily Jin, N M Anoop Krishnan, Kevin Maik Jablonka, Marta Skreta, Stefano Martiniani",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109538,https://neurips.cc/virtual/2025/workshop/109538,,109538,AI4Mat-NeurIPS-2025: NeurIPS 2025 Workshop on AI for Accelerated Materials Design,ai4mat-neurips-2025: neurips 2025 workshop on ai for accelerated materials design,"AI4Mat-NeurIPS-2025 explores applications of artificial intelligence (AI) to materials via: 1. AI-Guided Materials Design; 2. Automated Chemical Synthesis; 3. Automated Material Characterization. AI4MatNeurIPS-2025 emphasizes structured, expert-driven dialogue on making advanced machine learning more impactful for real-world materials discovery. To that end, AI4Mat-RLSF (Research Learning from Speaker Feedback) creates a new structured discussion format where spotlight presenters receive curated, in-depth feedback from invited discussants. Further, the AI4Mat Frontiers & Benchmarking session brings together a diverse and distinguished set of speakers to critically examine current benchmarks, present state-of-the-art methods, and identify emerging opportunities and current limitations in AI-driven materials design.",Workshop,Workshop,Upper Level Room 29A-D,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109538,https://neurips.cc/virtual/2025/workshop/109538,,
AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM),Workshop,"Fartash Faghri, Jessica Echterhoff, Jeffrey Li, Saurabh Garg, Amal Rannen-Triki, Sayna Ebrahimi",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109584,https://neurips.cc/virtual/2025/workshop/109584,,109584,AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM),ai that keeps up: workshop on continual and compatible foundation model updates (ccfm),"Foundation models, despite their impressive capabilities, face a critical challenge: they naturally become outdated. Trained on vast datasets, frequently updating these models is expensive. Crucially, these challenges extend beyond the scope of studies in traditional continual learning, as foundation models require rapid and scalable adaptation to dynamic global changes and the emergence of both generalized and specialized tasks. This workshop addresses the urgent need for up-to-date foundation models. We invite researchers to explore cost-effective methods for frequent updates and adaptation, minimizing forgetting and deterioration, ensuring a consistent user experience, and designing dynamic evaluations that remain relevant as models evolve.",Workshop,Workshop,Upper Level Room 25ABC,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109584,https://neurips.cc/virtual/2025/workshop/109584,,
7th International Workshop on Large Scale Holistic Video Understanding: Toward Video Foundation Models,Workshop,"Mohsen Fayyaz, Vivek Sharma, Ali Diba, Shyamal Buch, Anurag Arnab, Luc V Gool, Jürgen Gall, Joao Carreira, David Ross, Ehsan Adeli, Manohar Paluri",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/127828,https://neurips.cc/virtual/2025/workshop/127828,,127828,7th International Workshop on Large Scale Holistic Video Understanding: Toward Video Foundation Models,7th international workshop on large scale holistic video understanding: toward video foundation models,"This workshop aims to advance the field of video understanding by fostering discussions around holistic and generalist video foundation models. Building upon the Holistic Video Understanding (HVU) initiative and dataset introduced in 2019, we have successfully organized eight HVU workshops and tutorials at top-tier venues such as CVPR and ICCV, uniting researchers, practitioners, and students from around the world. These efforts have played a central role in moving the community beyond narrow action recognition tasks toward multi-faceted, semantic, and generalist video understanding.With the emergence of large-scale foundation models and video large language models (Video-LLMs), the landscape of video understanding is rapidly evolving. These models enable unified reasoning across spatial, temporal, and multimodal dimensions, yet introduce new challenges in scalability, efficiency, interpretability, and responsible deployment.The HVU Workshop 2025 will provide a platform to explore these frontiers, discussing topics such as multimodal representation learning, long-context reasoning, evaluation of general-purpose video systems, efficient adaptation and scaling laws, and the ethical and societal implications of video AI. Our goal is to bring together a diverse and inclusive community to define the next chapter of holistic, generalist, and responsible video understanding.",Workshop,Workshop,Don Alberto 3,2025-12-01T06:00:00,,https://neurips.cc/virtual/2025/workshop/127828,https://neurips.cc/virtual/2025/workshop/127828,,
AI for Science: The Reach and Limits of AI for Scientific Discovery,Workshop,"Ada Fang, Marinka Zitnik, Max Welling, Carla Gomes, Yuanqi Du, Sanjeev Raja, Lixue Cheng, Lijing Wang, Michael Albergo",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109578,https://neurips.cc/virtual/2025/workshop/109578,,109578,AI for Science: The Reach and Limits of AI for Scientific Discovery,ai for science: the reach and limits of ai for scientific discovery,"Through our proposed AI for Science workshop, we will bring together experimentalists, domain scientists, and ML researchers to discuss the reach and limits of AI for scientific discovery. We will center our discussion on three challenges that are essential to progress across scientific domains: **LLM reasoning across scientific domains**– can present-day LLMs generate rigorously testable hypotheses and reason over experimental results that span scientific domains such as physics, chemistry, and biology? **Fidelity of generative and surrogate simulators**– In biology, we see a shift towards all-atom models with increasingly powerful capabilities, in chemistry machine learning force fields are increasing in accuracy and generalizability, and in climate modeling we can now accurately predict weather 15 days out. How far can we push this limit? What spatial or temporal scales remain intractable? **Experimental data scarcity and bias**. We see modern examples of large-scale dataset generation such as the Protein Data Bank, Human Cell Atlas, and the Materials Project. Are there other fields where AI can benefit most from consortium efforts to generate large-scale datasets? How far can models trained on limited experimental datasets take us and where are lab-in-the-loop strategies essential? To address this, we additionally introduce a **dataset proposal competition**. Our workshop will highlight common bottlenecks in developing AI methods across scientific application domains, and delve into solutions that can unlock progress across all of these domains.",Workshop,Workshop,Upper Level Ballroom 20A,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109578,https://neurips.cc/virtual/2025/workshop/109578,,
AI Robotics @ UC Berkeley (BTF),Workshop,C.K. Wolfe,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129327,https://neurips.cc/virtual/2025/workshop/129327,,129327,AI Robotics @ UC Berkeley (BTF),ai robotics @ uc berkeley (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129327,https://neurips.cc/virtual/2025/workshop/129327,,
AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),Workshop,"Cong Shen, Christopher Brinton, Gauri Joshi, Hyeji Kim, Osvaldo Simeone, Shiqiang Wang, Taesang Yoo, Jun Zhang",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109576,https://neurips.cc/virtual/2025/workshop/109576,,109576,AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),ai and ml for next-generation wireless communications and networking (ai4nextg @ neurips’25),"The field of wireless communications and networking is undergoing a paradigm shift, driven by the growing potential of Artificial Intelligence (AI) and Machine Learning (ML) to redefine traditional system design principles. This workshop aims to catalyze interest and foster collaboration between the AI/ML and wireless communications communities. The timing of this workshop is especially significant, as the next-generation (NextG) wireless standardization efforts (such as 6G and WiFi 9) are just getting started, with AI-native technologies expected to play a central role across all aspects of the wireless ecosystem – from radio access to network management and edge intelligence. NextG represents a foundational shift in global infrastructure, enabling ultra-fast, low-latency, and intelligent connectivity that will power future applications in AI, robotics, immersive environments, and autonomous systems. These technologies offer unprecedented opportunities to both drive and benefit many applications, from healthcare and transportation to industrial automation and environmental monitoring. The economic and societal implications are vast: NextG networks will underlie trillions in global GDP impact, bridge digital divides, and shape how billions of people interact with technology and each other in the decades to come.<br><br>Despite the clear promise, a significant disconnect exists between the AI/ML and wireless research communities. AI/ML experts often lack an understanding of the unique physical, algorithmic, and architectural constraints inherent in wireless systems, while wireless researchers tend to adopt generic, off-the-shelf AI/ML models that are not optimized for the intricacies of wireless environments. Wireless environments are inherently dynamic, high-dimensional, and partially observable. These unique characteristics make them ideal testbeds for developing robust learning algorithms, particularly in areas like online learning, reinforcement learning, and in-context learning. At the same time, AI/ML techniques are becoming essential for managing the growing complexity of modern wireless networks, including resource allocation, interference mitigation, and cross-layer optimization. Bridging the gap between the two communities is not only necessary for meaningful technological advances but also critical for realizing the full societal impact of intelligent wireless systems.<br><br>This workshop aims to bring together researchers and practitioners at the intersection of artificial intelligence (AI), machine learning (ML), and wireless to address the unique challenges and opportunities posed by Next-Generation (NextG) wireless systems. As the 6G era begins to take shape, AI-native designs have emerged as a cornerstone of wireless innovation, with the potential to transform the performance, efficiency, and adaptability of communication systems. The integration of AI/ML is poised to influence every layer of the network stack, from physical-layer signal processing to network control and resource management.",Workshop,Workshop,Upper Level Room 10,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109576,https://neurips.cc/virtual/2025/workshop/109576,,
AI for Science (BTF),Workshop,Lixue Cheng,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/129361,https://neurips.cc/virtual/2025/workshop/129361,,129361,AI for Science (BTF),ai for science (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/129361,https://neurips.cc/virtual/2025/workshop/129361,,
AI for non-human animal communication,Workshop,"Ellen Gilsenan-McMahon, Brittany Solano, Olivier Pietquin, Burooj Ghani, Lauren Harrell, Sara Keen, Vincent Dumoulin, Nicolas Mathevon, Benjamin Hoffman, Milad Alizadeh",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109586,https://neurips.cc/virtual/2025/workshop/109586,,109586,AI for non-human animal communication,ai for non-human animal communication,"The past few years have seen an unprecedented surge in both the availability of bioacoustic data and the sophistication of AI/machine learning models. This convergence presents a unique window of opportunity to revolutionize our understanding of animal communication and biodiversity. However, achieving this requires a conscious effort to integrate the disciplines of AI/Machine Learning and Ethology.

This workshop will explore the intersection of artificial intelligence (AI) and bioacoustics, aiming to address challenges in processing complex bioacoustic data and interpreting animal signals in order to advance our understanding of non-human animal communication. Join us for a poster session, keynote talks and a panel discussion as we explore key opportunities to use AI to decipher animal languages and thus deepen our understanding of the natural world.",Workshop,Workshop,Upper Level Room 9,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109586,https://neurips.cc/virtual/2025/workshop/109586,,
