title,neurips_event_type,neurips_id,neurips_virtualsite_url,neurips_abstract,neurips_location,neurips_starttime,authors,session_area,affiliation,status,rating,avg_rating,openreview_urls,neurips_urls,all_urls,openreview_id,name,norm_title_nj,neurips_session,neurips_endtime,neurips_paper_url,neurips_decision,neurips_poster_position
telling stories at scale: multimodal ml in the global media landscape,Expo Talk Panel,128652,https://neurips.cc/virtual/2025/128652,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
data scout: “from prompt to corpus: accelerating domain-specific data collection with llmguided discovery”,Expo Talk Panel,128656,https://neurips.cc/virtual/2025/128656,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
multimodal data foundation at industry-scale,Expo Talk Panel,128659,https://neurips.cc/virtual/2025/128659,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
graid: synthetic data generation with geometric constraints and multi-agentic reflection for harmful content detection,Expo Talk Panel,128668,https://neurips.cc/virtual/2025/128668,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
beyond benchmarks: rethinking reasoning in language models,Expo Talk Panel,128665,https://neurips.cc/virtual/2025/128665,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
toward general full autonomy: open research challenges in scalable self-driving,Expo Talk Panel,128661,https://neurips.cc/virtual/2025/128661,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
foundational generative recommendations for e-commerce,Expo Talk Panel,128667,https://neurips.cc/virtual/2025/128667,,,,,,,,,,,,,,,,Expo Talk Panel,,,,
checkmate: fine-tune your own small language model for real-time chess reasoning and gameplay on aws trainium,Expo Workshop,128680,https://neurips.cc/virtual/2025/128680,,,,,,,,,,,,,,,,Expo Workshop,,,,
causalfairness: an open-source python library for causal fairness analysis,Expo Workshop,128677,https://neurips.cc/virtual/2025/128677,,,,,,,,,,,,,,,,Expo Workshop,,,,
learning to steer llms with ai steerability 360 and in-context explainability 360,Expo Demonstration,128645,https://neurips.cc/virtual/2025/128645,,,,,,,,,,,,,,,,Expo Demonstration,,,,
llm-powered intelligent data engineering: from workflow design to ingestion andquality assurance,Expo Demonstration,128644,https://neurips.cc/virtual/2025/128644,,,,,,,,,,,,,,,,Expo Demonstration,,,,
who needs attention anyway? elastic state models for real-time streaming tasks,Expo Demonstration,128648,https://neurips.cc/virtual/2025/128648,,,,,,,,,,,,,,,,Expo Demonstration,,,,
multimodal superintelligence workshop,Expo Workshop,128681,https://neurips.cc/virtual/2025/128681,,,,,,,,,,,,,,,,Expo Workshop,,,,
alice: agentic logic for incident and codebug elimination,Expo Demonstration,128646,https://neurips.cc/virtual/2025/128646,,,,,,,,,,,,,,,,Expo Demonstration,,,,
